word,final_score
لا,-0.005
يكون,-0.005
المطر,-0.005
على,-0.005
حسابي​​​​​​​{..هہْہْْٱٱي,-0.005
مساء,-0.005
الابتسامة,-0.005
:),-0.005
@Luke_cox93,-1.005
can't,-1.005
this,-1.005
weekend,-1.005
boyo,-1.005
:(,-1.005
sisters,-1.005
down,-1.005
and,-1.005
it's,-1.005
her,-1.005
bday,-1.005
so,-1.005
with,-1.005
the,-1.005
fam,-1.005
all,-1.005
weekend,-1.005
until,-1.005
Tuesday,-1.005
pal!,-1.005
:(,-1.005
snugs,-1.005
😭😭,-1.005
#TilkiAylinİçinAşkZamanı,-0.005
en,-0.005
güzel,-0.005
aytil,-0.005
bölümleri,-0.005
deyip,-0.005
heveslendirdiler,-0.005
bari,-0.005
kursagimizda,-0.005
birakmasaydiniz,-0.005
:(,-0.005
@Luigi_Berna,-0.005
"8,",-0.005
all'Apple,-0.005
store,-0.005
delle,-0.005
befane,-0.005
:),-0.005
@Zackariasson,-0.005
Invita,-0.005
så,-0.005
kör,-0.005
vi,-0.005
:),-0.005
nah,-0.005
ini,-0.005
....RT,-0.005
@IngatanSekolah:,-0.005
Kalo,-0.005
kepala,-0.005
sekolah,-0.005
lewat,-0.005
langsung,-0.005
rapihin,-0.005
baju,-0.005
celana,-0.005
dasi,-0.005
dll,-0.005
:),-0.005
#IngatanSekolah,-0.005
Que,-0.005
fais-tu,-0.005
?,-0.005
;).,-0.005
:),-0.005
—,-0.005
Je,-0.005
suis,-0.005
poser,-0.005
sur,-0.005
mon,-0.005
lit,-0.005
et,-0.005
toi,-0.005
?,-0.005
:),-0.005
http://t.co/SMJjnKuhtP,-0.005
@joryq2,-0.005
:(,-0.005
يمااه,-0.005
twins,2.995
:),2.995
@erika__kohut,2.995
http://t.co/iZU9DJw3ZO,2.995
@EclipseInTime,20.995
I,20.995
were,20.995
all,20.995
closer,20.995
:(,20.995
xx,20.995
@Ryeothin56,-0.005
مافهمت,-0.005
بس,-0.005
تاكل,-0.005
زق,-0.005
صدق,-0.005
انتي,-0.005
ما,-0.005
تعرفين,-0.005
تفهمين,-0.005
:),-0.005
these,0.995
account,0.995
:),0.995
@askdizisi2,-0.005
sayfasina,-0.005
bakiniz,-0.005
simdi,-0.005
ASK,-0.005
ile,-0.005
haber,-0.005
geliyor,-0.005
bilginizee,-0.005
:),-0.005
"""@e_m_i_l_y_3:",-0.005
@prebr1128,-0.005
text,-0.005
"me(:""",-0.005
okay,-0.005
:),-0.005
@kikfits_,-0.005
anytime,-0.005
:),-0.005
@alod12,-0.005
:),-0.005
@love_zerrie132,-2.005
Nie,-2.005
ma,-2.005
za,-2.005
co,-2.005
Słonko,-2.005
:),-2.005
"Pamiętaj,",-2.005
że,-2.005
jak,-2.005
masz,-2.005
jakiś,-2.005
to,-2.005
ja,-2.005
Cię,-2.005
zawsze,-2.005
wysłucham,-2.005
&lt;3,-2.005
RT,-0.005
@JaredLeto:,-0.005
Me,-0.005
and,-0.005
@shannonleto,-0.005
getting,-0.005
gently,-0.005
mobbed,-0.005
in,-0.005
brazil,-0.005
:),-0.005
#rockinrio,-0.005
http://t.co/ioKdHPVcqa,-0.005
I,-2.005
him,-2.005
:(,-2.005
why,-2.005
did,-2.005
u,-2.005
ebbas,-2.005
icon,-2.005
@twerkinonjustin,-2.005
:(,-2.005
Despues,-0.005
de,-0.005
un,-0.005
dia,-0.005
duro,-0.005
viene,-0.005
bien,-0.005
relajarse,-0.005
un,-0.005
poco,-0.005
:),-0.005
RT,-20.005
@screwyoulou:,-20.005
RT,-20.005
for,-20.005
a,-20.005
DM,-20.005
to,-20.005
-,-20.005
-Union,-20.005
J,-20.005
-Beau,-20.005
Brooks,-20.005
-Jai,-20.005
Brooks,-20.005
-JamesYammouni,-20.005
-Ariana,-20.005
Grande,-20.005
-Cody,-20.005
Simpson,-20.005
Just,-20.005
tell,-20.005
who,-20.005
:),-20.005
#SemihVarolComTakipçileriTakipleşiyor,-0.005
#TakipciKazanmaliCom,-0.005
#takipedenitakipederim,-0.005
yesss,-0.005
hanısiniz,-0.005
:),-0.005
"Sol,",-0.005
mar,-0.005
y,-0.005
arena,-0.005
:),-0.005
Sorry,-2.005
:),-2.005
"""@miss_entee:",-2.005
I,-2.005
decided,-2.005
to,-2.005
cook,-2.005
today,-2.005
and,-2.005
ended,-2.005
up,-2.005
giving,-2.005
myself,-2.005
food,-2.005
poisoning..,-2.005
I,-2.005
feel,-2.005
soo,-2.005
"😩😤""",-2.005
RT,-19.005
@Biiiiiiiiiichaa:,-19.005
@DavidAmador9,-19.005
puedo,-19.005
hablarte,-19.005
dado,-19.005
limit,-19.005
en,-19.005
mds,-19.005
:(,-19.005
Lool,-0.005
"""@i_am_Marii:",-0.005
Hi,-0.005
:),-0.005
“@MsJulieMj:,-0.005
*wet,-0.005
"""@SexFact:",-0.005
I,-0.005
get,-0.005
horny,-0.005
so,-0.005
"easily.""”""",-0.005
@Jade_McCarthy1,1.995
it,1.995
was,1.995
about,1.995
darlin,1.995
:),1.995
Have,19.995
GOT,19.995
Emoticons,19.995
:),19.995
in,19.995
your,19.995
facebook,19.995
statuses,19.995
as,19.995
yet?,19.995
-,19.995
#SMM,19.995
http://t.co/gFoe4sC3hC,19.995
#Facebook,19.995
@GrimsToyShow,-0.005
Happy,-0.005
Birthday,-0.005
Grim!!!!!!!!!!!!!!!!!!,-0.005
:),-0.005
Ojala,-0.005
que,-0.005
este,-0.005
bueno,-0.005
afuera,-0.005
para,-0.005
patinar,-0.005
:),-0.005
RT,4.995
@MauraG_:,4.995
this,4.995
is,4.995
what,4.995
i,4.995
brought,4.995
@NiallOfficial,4.995
for,4.995
his,4.995
birthday,4.995
"also,",4.995
i'm,4.995
he,4.995
it,4.995
:),4.995
X,4.995
http://t.co/UrI8MFqlWT,4.995
Bueno,-0.005
"chau,",-0.005
voy,-0.005
a,-0.005
seguir,-0.005
con,-0.005
lo,-0.005
mío,-0.005
:(,-0.005
RT,-0.005
@sipuedessigueme:,-0.005
Viendo,-0.005
#myhyv,-0.005
en,-0.005
La,-0.005
siete.,-0.005
Vos?,-0.005
:),-0.005
Tenemos,-0.005
a,-0.005
un,-0.005
nuevo,-0.005
electricista!,-0.005
:),-0.005
Elecan,-0.005
Electricidad,-0.005
Cant...,-0.005
http://t.co/LPt6zjxLCk,-0.005
Love,1.995
this,1.995
look,1.995
on,1.995
guys!!!,1.995
I,1.995
am,1.995
very,1.995
of,1.995
this,1.995
haircut!,1.995
:),1.995
#bangsalon,1.995
#haircut,1.995
#menstrend2013,1.995
http://t.co/0Zqs3JrzCB,1.995
@69LukeBrooks,-0.005
follow,-0.005
back?,-0.005
:),-0.005
x,-0.005
@estelle_2098,4.995
fuk,4.995
u,4.995
jk,4.995
francesca!,4.995
:),4.995
RT,31.995
@Michael5SOS:,31.995
bday,31.995
to,31.995
my,31.995
bruthaaa,31.995
@niallofficial,31.995
:),31.995
spending,31.995
it,31.995
in,31.995
a,31.995
place,31.995
for,31.995
your,31.995
bday,31.995
;),31.995
ya,31.995
bro!!,31.995
see,31.995
in,31.995
a,31.995
w…,31.995
I'll,-1.005
still,-1.005
purchase,-1.005
songs,-1.005
off,-1.005
of,-1.005
iTunes,-1.005
but,-1.005
albums?,-1.005
I,-1.005
think,-1.005
not,-1.005
there,-1.005
b,-1.005
a,-1.005
few,-1.005
bangers,-1.005
and,-1.005
the,-1.005
rest,-1.005
fizzles,-1.005
:(,-1.005
@itslizbit,-1.005
whoa,-1.005
!,-1.005
I,-1.005
have,-1.005
hoes,-1.005
:(,-1.005
@gingerrolo,-0.005
Think,-0.005
we,-0.005
all,-0.005
need,-0.005
plans,-0.005
"tbh,",-0.005
and,-0.005
I,-0.005
wanna,-0.005
go,-0.005
and,-0.005
see,-0.005
the,-0.005
new,-0.005
horror,-0.005
:(,-0.005
@MrNyul,-0.005
:),-0.005
http://t.co/H6puF3Qdlx,-0.005
Bruttissima,-0.005
non,-0.005
ho,-0.005
cuore,-0.005
vivo,-0.005
tanto,-0.005
per,-0.005
—,-0.005
ohw,-0.005
:(,-0.005
http://t.co/hLFBG8DC5v,-0.005
RT,26.995
@sandybeales:,26.995
@NiallOfficial,26.995
birthday,26.995
"man,",26.995
have,26.995
a,26.995
"one,",26.995
see,26.995
real,26.995
soon,26.995
:),26.995
@Lucasgaro77,-0.005
went,-0.005
from,-0.005
shorts,-0.005
to,-0.005
more,-0.005
shorts,-0.005
:),-0.005
@ZeynepOlcay7,-0.005
bunu,-0.005
kaçıncı,-0.005
diyişin,-0.005
söyliyim,-0.005
mi,-0.005
:),-0.005
RT,-0.005
@JoseDHx:,-0.005
Me,-0.005
Gustas.,-0.005
:),-0.005
Kumnandi,-0.005
mos,-0.005
la,-0.005
:),-0.005
RT,-0.005
"""@khay_pea:",-0.005
Centre,-0.005
of,-0.005
my,-0.005
world,-0.005
"@Zyz_Zo""",-0.005
#TilkiAylinİçinAşkZamanı,-0.005
acaba,-0.005
Tilki,-0.005
Aylinin,-0.005
soylediklerini,-0.005
duydumu?,-0.005
Morelinizi,-0.005
bozmak,-0.005
istemem,-0.005
ama,-0.005
bence,-0.005
duymadi,-0.005
:(,-0.005
@equallylou,-0.005
@starlightperrie,-0.005
@maliksbooty,-0.005
@JeschgePayne,-0.005
@bramblenouis,-0.005
du,-0.005
hast,-0.005
dich,-0.005
doch,-0.005
auch,-0.005
eingemischt,-0.005
:),-0.005
Watching,-0.005
mrs,-0.005
browns,-0.005
boys,-0.005
:),-0.005
...........♥,-0.005
Otobuste,-0.005
kalktıgına,-0.005
gore,-0.005
ıstıkamet,-0.005
Aydın,-0.005
:),-0.005
*-*,-0.005
:),-0.005
http://t.co/mB4G1ZK1Ex,-0.005
@a_hyom,-0.005
la,-0.005
7emdeallah,-0.005
I,-0.005
don't,-0.005
have,-0.005
an,-0.005
older,-0.005
sister,-0.005
:(,-0.005
RT,-13.005
@Real_Liam_Payne:,-13.005
Been,-13.005
reading,-13.005
a,-13.005
lot,-13.005
of,-13.005
@PerezHilton,-13.005
things,-13.005
about,-13.005
recently,-13.005
and,-13.005
I'd,-13.005
just,-13.005
to,-13.005
say,-13.005
for,-13.005
being,-13.005
:),-13.005
@GenevauxShauna,-0.005
@Clara1D_Zayn,-0.005
@lilibieber28,-0.005
@jule1505,-0.005
Yep,-0.005
:),-0.005
Vous,-0.005
faite,-0.005
quoi,-0.005
?,-0.005
Lets,-0.005
go,-0.005
:),-0.005
http://t.co/WL6RpKYUEZ,-0.005
@LondiweMthembu2,3.995
her,3.995
a,3.995
birthday,3.995
from,3.995
me!,3.995
:),3.995
x,3.995
RT,-0.005
@Celia_Sayana:,-0.005
@_EstelleTorres,-0.005
mes,-0.005
nous,-0.005
une,-0.005
photo,-0.005
de,-0.005
tes,-0.005
nouveaux,-0.005
bébé,-0.005
:),-0.005
@hanrosex,-0.005
can't,-0.005
believe,-0.005
just,-0.005
drove,-0.005
past,-0.005
today,-0.005
:(,-0.005
Ah,-0.005
ah,-0.005
kabullenmek,-0.005
:),-0.005
@babyyylyss_,-0.005
yes.,-0.005
:),-0.005
